题名,URL,作者,来源,发表日期,数据库类型,被引用次数,关键词,摘要
雷公藤多甙片治疗慢性淋巴细胞性甲状腺炎,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YfoP5ylkklV_qUpGR1_tVM03bgVWnrjdmddXsI-Gt2u_5NzmuOloNE6Z66cVyYN4aFmaJmnAcexnE-mM1sytud7Ax3FdQCrWdTqCyP8LlRBxNwqhcfWHxhtqM8RZH_rIM=&uniplatform=NZKPT&language=CHS,"沈鸣,姚国英,方林钧,薛志新",上海医药,10/15/1996,期刊,17,慢性淋巴细胞性甲状腺炎; 雷公藤多甙片;,"本文报道雷公藤多甙片治疗慢性淋巴细胞性甲状腺炎10例。年龄6～14岁。临床表现及实验室检查均符合诊断标准。经雷公藤多甙片(1mg/kg/日)治疗6个月,临床症状及体征明显改善,治疗前、后均作血清甲状腺球蛋白抗体以及甲状腺微粒体抗体检查,治疗后甲状腺球蛋白抗体和甲状腺微粒体抗体滴定度较治疗前明显降低,经检验有显著意义。作者认为,用雷公藤多甙片治疗慢性淋巴细胞性甲状腺炎,不失为一种行之有效的方法。"
地塞米松联合甲巯咪唑治疗慢性自身免疫性甲状腺炎的临床研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YfoP5ylkklV_qUpGR1_tVM03bgVWnrjdlMAOOe1mQ6iGIwDlOWEA983raSX78XM9FQ1uB8h3OC3CMGnO3M3yH0lLhu7eWX5sd-YkAfTTGKdP32XyuDForzboJzcM7DDZ6nIG6HtILAFA==&uniplatform=NZKPT&language=CHS,方永碧;何德全,中国临床药理学杂志,11/28/2017,期刊,17,慢性自身免疫性甲状腺炎; 地塞米松; 甲巯咪唑; 肿瘤坏死因子-α; T淋巴细胞;,"目的观察地塞米松联合甲巯咪唑对慢性自身免疫性甲状腺炎的临床疗效及安全性。方法将36例慢性自身免疫性甲状腺炎患者随机分成试验组18例及对照组18例。对照组予以口服甲巯咪唑10 mg tid;试验组在对照组治疗的基础上,于治疗第1,8,15,22天甲状腺内肌内注射地塞米松5 mg。2组患者均治疗28 d。比较2组的临床疗效、治疗前后血清T淋巴细胞、肿瘤坏死因子α(TNF-α)水平、血清人促甲状腺素(TSH)、游离三碘甲状腺原氨酸(FT3)、游离甲状腺素(FT4)、抗甲状腺过氧化物酶抗体(TPOAb)和抗甲状腺球蛋白抗体(TGAb)等指标水平及药物不良反应发生情况。结果试验组和对照组的总有效率分别为94.44%(17例/18例)和66.67%(12例/18例),差异有统计学意义(P<0.05);治疗后,试验组和对照组的CD4+/CD8+分别为1.31±0.07,1.00±0.08;TNF-α分别为(1.57±0.16),(1.92±0.16)ng·mL-1;FT3分别为(2.85±0.78),(5.19±1.04)pmol·L-1;FT4分别为(13.08±1.59),(18.96±2.21)pmol·L-1;TSH分别为(2.88±0.60),(3.85±0.81)U·mL-1;TPOAb分别为(22.92±3.30),(27.43±4.45)U·mL-1;TGAb分别为(74.30±11.22),(92.74±13.46)U·mL-1;差异均有统计学意义(均P<0.05)。试验组出现的药物不良反应有激动不安、恶心呕吐,对照组出现的药物不良反应有头晕头痛、恶心呕吐、味觉减退。试验组和对照组的药物不良反应发生率分别为11.11%(2例/18例)和22.22%(4例/18例),差异无统计学意义(P>0.05)。结论地塞米松联合甲巯咪唑治疗慢性自身免疫性甲状腺炎临床疗效较好,安全性较高。"
硒酵母联合左甲状腺素钠治疗2型糖尿病合并慢性淋巴细胞性甲状腺炎的临床效果,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aUk3PxI-oPA36c6GV2PvMLKgxceo4KT1g5bENycVWfNIWpsb2sYOPj2kZCA7ceiNm_-sIJlP2lBubUMA4MuQYpeHDx2jYYyr_b6yqWgHqbRuKYIJz6HDlDQ5x-B3Wzdo4hItzeyw7w0w==&uniplatform=NZKPT&language=CHS,张成;曾菲;刘小萍;杨雅莉;李红,中国医药,11/8/2017,期刊,17,糖尿病; 慢性淋巴细胞性甲状腺炎; 硒酵母;,"目的 观察硒酵母联合左甲状腺素钠治疗2型糖尿病合并慢性淋巴细胞性甲状腺炎(CLT)的临床效果。方法 选取2015年6月至2016年11月解放军第四五二医院收治的明确诊断为2型糖尿病合并CLT的患者78例,完全随机分为A、B组,各39例。2组均给予常规基础降糖治疗,另A组口服左甲状腺素钠片常规治疗,B组在A组基础上加服硒酵母片治疗,2组均进行3个月治疗。观察2组患者治疗前后血糖、甲状腺功能相关指标、临床疗效、临床症状改善情况及不良反应发生情况。结果 治疗后,B组空腹及餐后2 h血糖、糖化血红蛋白、甲状腺过氧化物酶抗体、甲状腺球蛋白抗体水平明显低于A组[(5.00±0.10)mmol/L比(5.60±0.30)mmol/L、(8.50±0.40)mmol/L比(10.60±0.40)mmol/L、(4.70±0.20)%比(5.80±0.13)%、(119±19)mU/L比(290±31)mU/L、(87±19)mU/L比(172±22)mU/L],空腹及餐后2 h血清C肽水平明显高于A组[(2.06±0.21)μg/L比(1.27±0.22)μg/L、(5.27±0.43)μg/L比(2.63±0.26)μg/L],差异均有统计学意义(均P<0.05)。B组总有效率明显高于A组[94.9%(37/39)比69.2%(27/39)],差异有统计学意义(P<0.05)。治疗后B组患者临床症状(甲状腺疼痛、甲状腺肿胀、黏液性水肿)改善率明显高于A组,差异有统计学意义(P<0.05)。B组不良反应发生率低于A组[0.0%(0/39)比10.3%(4/39)],差异有统计学意义(P<0.05)。结论 硒酵母联合左甲状腺素钠方案治疗2型糖尿病合并CLT临床效果明显,而且较为安全,患者的生存质量得到明显改善。"
慢性淋巴细胞性甲状腺炎合并甲状腺癌13例临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aUk3PxI-oPA36c6GV2PvMLKgxceo4KT1g5bENycVWfNIL1Wp4rBPEKJ31NkCHh6WUyB_LKHrM-XYy9FWGe064qDEMMv8Q5N5zblD_9JuF7s8FT6kwFwjozzjOPdpGPcxQ=&uniplatform=NZKPT&language=CHS,"肖晖,刘彤,杨杰",中国实用外科杂志,4/20/2005,期刊,16,慢性淋巴细胞性甲状腺炎; 甲状腺肿瘤;,"目的　探讨慢性淋巴细胞性甲状腺炎合并甲状腺癌的发病机制、诊断和治疗。方法　回顾性分析首都医科大学附属同仁医院1994～2 0 0 4年收治的13例慢性淋巴细胞性甲状腺炎合并甲状腺癌的临床资料。结果　慢性淋巴细胞性甲状腺炎合并甲状腺癌的发病率占慢性淋巴细胞性甲状腺炎的12.  15 % (13/ 10 7) ,占甲状腺癌的15.  6 6 % (13/ 83)。所有病人术前均主诉有颈前部结节,1例伴有颈部疼痛,1例有压迫症状,7例显示TSH增高,6例TGA或TMA或两者同时升高,同位素示“冷结节”8例,甲状腺超声检查13例均有低回声结节,2例伴有钙化和淋巴结肿大。12例行一期根治性手术,1例行二期根治性手术。11例随访6个月至8年不等,无复发死亡。结论　慢性淋巴细胞性甲状腺炎可能是甲状腺癌的前期病变;慢性淋巴细胞性甲状腺炎合并甲状腺癌术前诊断很困难,因此掌握对慢性淋巴细胞性甲状腺炎的手术探查指征很重要;对慢性淋巴细胞性甲状腺炎合并甲状腺癌的手术应采取甲状腺癌根治性手术的原则进行手术。"
雷公藤片佐治慢性淋巴细胞性甲状腺炎25例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZY5Yest7JHT-hTKzlJYPBnFdyOW--DNN-0XM2pA3nObHxln5TOD7YWmWxZ6CB6pND7HWaKkExYpOIJ3MO82Cjwv_aMUlDe2eis-3mX1pVs0mGDB2MrVFYf1Y8C9gN6wT4=&uniplatform=NZKPT&language=CHS,牟丽平,蚌埠医学院学报,7/15/2000,期刊,15,甲状腺炎; 雷公藤; 泼尼松;,"目的 :观察雷公藤片与泼尼松佐治慢性淋巴细胞性甲状腺炎的临床疗效。方法 :慢性淋巴细胞性甲状腺炎患者 5 0例 ,均为女性 ,无甲状腺功能变化的表现。随机分成两组 :A组、B组各 2 5例。在用左旋甲状腺素片治疗同时 ,A组加用泼尼松片口服 ,B组加用雷公藤片口服。疗程 3个月。观察两组患者治疗前后血T3 、T4 、促甲状腺素 (TSH)、抗甲状腺球蛋白抗体 (TG Ab)、抗甲状腺过氧化酶抗体 (TPO Ab)及甲状腺大小变化。结果 :两组患者治疗前后血T3 、T4 和TSH无明显变化。TG Ab、TPO Ab及甲状腺大小两组间无显著对比性。各组治疗前后差异均有显著性 (P <0 .0 1)。A组患者普遍主诉体重增加。 6例主诉水肿 ,2例因血压偏高而减量、停药。B组患者无明显副作用。结论 :雷公藤片佐治慢性淋巴细胞性甲状腺炎疗效显著 ,且可避免糖皮质激素的副作用。"
慢性淋巴细胞性甲状腺炎合并甲状腺结节患者的诊断与处理,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aaoEjaS8DtJqUZjykw8rNCCWdq5D5uASuUYGvChHPkA0iJIam8B1VDrm2i4d1CUR0ziixwH7pLcFDlTTZaUE8wez6J3HGyzoWJuSkEIQvRS8BmxJnRznkad29uGLSFRl8=&uniplatform=NZKPT&language=CHS,郭毅;李小毅;钟定荣;刘跃武;高维生,中华医学杂志,3/20/2007,期刊,15,"甲状腺炎,自身免疫性; 甲状腺肿瘤; 甲状腺结节;","目的探讨慢性淋巴细胞性甲状腺炎(CLT)合并甲状腺结节的诊断和处理原则方法对1995-2005年间经手术病理证实的 CLT 合并甲状腺结节病例,采用回顾性对照研究的方法,依据不同的病理类型分组,就临床特点、诊断和治疗进行比较。结果 CLT 合并甲状腺癌组共5l例,女性48例,男性3例,平均年龄36.8岁,平均病程24.6个月,28例为单发结节,34例可见结节内钙化;CLT 合并良性结节组共96例,其中女性94例,男性2例,平均年龄48.0岁,平均病程59.0个月,27例为单发结节,14例可见结节内钙化。两组病例在发病年龄、病程、结节个数及钙化等方面的差异均有统计学意义。结论 CLT 合并甲状腺结节手术治疗的主要原因是合并甲状腺癌。CLT 自身形成结节、结节性甲状腺肿及甲状腺腺瘤也是常见原因。对于 CLT 合并甲状腺结节应积极诊治,当细针穿刺病理结果提示恶性可能、甲状腺结节短期内明显增大、B 超提示单发实性结节或结节合并钙化时,应行手术治疗。"
慢性淋巴细胞性甲状腺炎的诊断和外科治疗,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aaoEjaS8DtJqUZjykw8rNCCWdq5D5uASsbyoLf592aLRzwCulLK-ydS903CrS_Yb89vvuVqnka7tGVdXAhtK-SabadJEcR3zPG6zIc7Vcxa_eggMMJPyMM3kCiEM6v5wg=&uniplatform=NZKPT&language=CHS,黄钟英;林建灿,浙江医学,5/1/1993,期刊,14,,"手术治疗慢性淋巴细胞性甲状腺炎(CLT)33例,均为女性,40～49岁为高峰发病年龄。所有患者甲状腺均肿大,其中3例伴粘液性水肿。13例测定了T3、T4,结果分别为正常或升高;16例测定了TGA、TMA,其中TGA升高13例,TMA升高14例,术中冰冻切片13例,8例证实为CLT:术后病理检查均证实为CLT,其中17例为单纯CLT。对本病的诊断及其与甲亢的关系进行了探讨,提出本病手术(包括术中活检)指征是:临床上无法与其他甲状腺疾病相鉴别,特别是甲状腺癌,需要切除峡部以解除因本病引起的气管压迫。"
白细胞介素10对儿童慢性淋巴细胞性甲状腺炎γ干扰素/白细胞介素4失衡的影响,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ajA6YAzrTcn1pezp3iRtpz8KDkxNAk9qcSTFv5HcA67Sr6gItn_FHajFHBRe0RvNgcUlo-rtlcFoOyJroxel-eMBWlDenP1vNuOIjrVgNVzMJmLHh-21reo0DL4B3yo9k=&uniplatform=NZKPT&language=CHS,"董文斌,肖大成,冉隆瑞,唐章华",中华儿科杂志,2/16/2000,期刊,13,"甲状腺炎,自身免疫性; 白细胞介素10; 白细胞介素4; 干扰素Ⅱ型;","目的　探讨白细胞介素 10 (IL 10 )对慢性淋巴细胞性甲状腺炎 (CLT)γ 干扰素 (IFN γ) /IL 4水平失衡的影响。方法　采用酶联免疫吸附法 ,对加入基因重组IL 10处理前后 10例CLT患儿外周血单个核细胞 (PBMC)诱生IFN γ和IL 4水平的变化进行观察。结果　患儿PBMC产生IFN γ为(30 81± 182 3)ng/L ,IL 4为 (2 89± 32 )ng/L ,IFN γ/IL 4比值为 10 .1± 5 .4;对照组IFN γ为 (15 0 6±5 78)ng/L ,IL 4为 (382± 10 4)ng/L ,IFN γ/IL 4比值为 5 .0± 3.1,两组比较差异有显著意义 (t =2 .6 1、3.5 6、2 .6 1,P <0 .0 5、0 .0 1、0 .0 5 )。加入终浓度为 2 0 μg/L的重组人白细胞介素 10 (rhIL 10 )后 ,IFN γ为 (1831± 15 6 2 )ng/L ,IL 4为 (381± 12 5 )ng/L ,与对照组比较差异无显著性意义 (P >0 .0 5 )。结论IL 10可抑制Th1类细胞因子IFN γ的产生 ,诱导Th2 类细胞因子IL 4的升高 ,从而使CLT患儿失衡的细胞因子水平趋于正常"
甲状腺乳头状癌合并慢性淋巴细胞性甲状腺炎的超声及病理特征分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ajA6YAzrTcn1pezp3iRtpz8KDkxNAk9qc1YCnD-COh7sHKsvYe-KNjdmJc73HX5KSGp2AUu7vmNsN-kO7TtLmfbN96qt2v5WeTfJ-54uml1QBdOoYObtVZkcirz5vWoUIpVPw6H27VdQ==&uniplatform=NZKPT&language=CHS,高小婵,中国药物与临床,3/25/2019,期刊,13,,"<正>目前,甲状腺癌是头颈部最常见的恶性肿瘤,甲状腺乳头状癌(papillary thyroid carcinoma, PTC)约占成人甲状腺癌的大多数,发病率逐步上升[1]。慢性淋巴细胞性甲状腺炎(chronic lymphocytic thyroiditis,CLT)也称为桥本甲状腺炎,目前是最常见的内分泌失调之一。本研究收集PTC患者的资料,根据其是否合并CLT,以分析2组患者的临床、超声、病"
魏子孝教授治疗亚急性甲状腺炎及慢性淋巴细胞性甲状腺炎经验总结,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aRlkfOALiSVSSwvg-DdtwseaN90gCeH0azMyXqDIVlJJYPkPs1xWM6m_6GNo0nU97sAIP7Lz9ax26vTIO8s4LbmlInRY6uAmwozHQQ-Hgbhhvc_wPvKPkx3dcn6A1sOuMHM1819LCPuA==&uniplatform=NZKPT&language=CHS,范乐,中国中医科学院,5/20/2011,硕士,13,亚急性甲状腺炎; 慢性淋巴细胞性甲状腺炎; 数据挖掘; 名老中医经验;,"目的： 挖掘整理魏子孝教授诊治亚急性甲状腺炎(SAT)及慢性淋巴细胞性甲状腺炎(CLT)的学术经验,实践数据挖掘技术在名老中医经验传承中的应用。 方法： 采用中国中医科学院西苑医院科研病例采集系统,提取46例经魏子孝教授诊治的SAT及CLT患者61诊次的病历资料,利用由中国科学院系统所及中国中医科学院西苑医院联合开发的SQL Server系统,通过描述性统计、关联规则、聚类分析等数据挖掘方法,并人机结合,对魏教授诊治SAT及CLT的学术经验进行全面整理。 结果： 挖掘结果显示,入组61诊次患者中SAT组29例,CLT组32例。SAT组女性23诊次(构成比79.3%),男性6诊次(构成比20.7%)。患者以甲状腺疼痛、失眠、心慌、甲状腺肿大、高热、大便干、低热、乏力、咽痛等为主要症状,其构成比依次为51.7%、31%,27.6%、27.6%、27.6%、24.1%、24.1%、20.7%、17.2%。异常舌象主要表现为舌体胖大占41.4%%,舌质红占82.7%,苔薄白者占51.7%%,苔黄占34.2%,脉弦者占40.1%。中医诊断主要为：瘿痛、瘿肿、不寐等,其构成比分别为：72.4%、10.3%、6.9%；主要治法为：散结、清热、解毒、疏风、安神、滋阴养血,其构成比依次为：93.1%、89.7%、69%、51.7%、37.9%、27.2%。使用药味共计95味,其中使用频次大于等于13次的药味分别为：白花蛇舌草、蒲公英、玄参、土贝母、牛蒡子、银花、僵蚕、生甘草、菖蒲、连翘。CLT组女性30诊次(构成比93.8%),男性2诊次(6.3%)。患者以乏力、失眠、烦躁易怒、多梦、甲状腺疼痛、水肿、易汗出、心慌、咽喉不利等为主要症状,其构成比依次为37.5%、31.3%、28.1%、25%、25%、25%、25%、21.9%、18.8%。异常舌象主要表现为舌体胖大有齿痕占40.4%,舌质暗红占46.9%,苔薄白者占51.7%,脉弦细者占43.9%。中医诊断主要为：瘿肿、瘿痛、心悸、虚劳、水肿、不寐、郁证：其构成比分别为：50%、18、8%、12.5%、9.4%、9.4%、6.3%、3.1%。主要治法为：散结、清热、解毒、滋阴养血、疏肝解郁、安神定志、健脾益气、化痰,其构成比依次为：59.4%、56.3%、28.1%、28.1%、28.1%、25%、21.9%、15.6%。所使用药味共计107味,其中使用频次大于等于15次的药味分别为：白花蛇舌草、蒲公英、玄参、土贝母、牛蒡子、郁金、苍术、柴胡、白术、茯苓。 结论： (1)魏教授认为虽然在西医学中亚急性甲状腺炎与慢性淋巴细胞性甲状腺炎是两种发病机制不同的疾病,但从中医四诊信息分析二者在起病初期有相似的发病机理,即外感风热。因为在症状表现上,二者均可有咽痛、颈部疼痛、咽喉不利、发热、头面部不适等外感邪气侵袭的表现。随着疾病的发展二者均可出现心悸、不寐、郁证、汗证、内伤发热、虚劳、水肿、痰核的相应临床表现。从病位上,二者均发生在甲状腺,即古人所提“靥”的部位,这个部位所患疾病古人通称为“瘿病”,“瘿病”的发生多与肝郁、痰结、血瘀相关。故魏教授认为二者虽为“异病”却“同理”,常一并论治。正因为二者有相似的发病机理,故在治法上魏教授遵循了“异病同治”的中医治则。上述临床研究数据挖掘结果显示,在治则治法分析中,“清热、解毒、散结”是二者主要的治则治法。这一治法与当今中医名家不同。其他医家在治疗这两种疾病时多分别论述,每一种疾病再分型或分期论治。这也是魏教授治疗这两种疾病的独到之处。在采取“异病同治”的治法同时,魏教授还注重“治未病”。所谓“治未病”即“未病先防,既病防变”的中医治病理念。魏教授在诊治疾病时十分重视这一点,将其灵活运用于所有疾病的诊治。在本临床研究中,无论是SAT组还是CLT组,清热药味所占比例均较多,魏教授指出清热药不仅针对外感热邪,还有清肝胆热之意。魏教授认为,“瘿病”的发病机制与“郁”相关,清肝胆热的目的是预防“郁而化火”,从而避免疾病的传变。同时,魏教授指出气郁化火可导致疼痛经久不愈或突然加重,故在处方时将“清热”法贯穿始终。此外,魏教授在诊治SAT和CLT时又各有偏重。在治疗SAT时多以“疏风清热散结”为主；治疗CLT时在“清热散结”的同时注重“疏肝解郁”、“益气健脾”,这也体现“见肝之病,知肝传脾,当先实脾”的治未病思想。魏教授在治疗SAT和CLT时并非一味清热,在辨证的基础上,首先明确疾病的轻重缓急,正邪孰轻孰重。急则先治其标,清除外邪,不致“闭门留寇”；缓则治其本,顾护正气,治病留人。 (2)基于人机结合的专家知识挖掘方法在名老中医经验传承中具有良好的应用前景。"
朱良争治疗慢性淋巴细胞性甲状腺炎经验,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aRlkfOALiSVSSwvg-DdtwsjQ8kyOWiuEzXX7ST2nRfGtCIuL_bgCFK56x-hLFICaby4TREL7f-cyRHk7EnfpybA637BnF3NZ-PB0t78y-pOtsLB6AW9a-C-To4I1A-IRY=&uniplatform=NZKPT&language=CHS,蔡浦玉;朱良争,上海中医药杂志,7/10/2014,期刊,12,慢性淋巴细胞性甲状腺炎; 调补肝肾; 医家经验; 朱良争;,"介绍朱良争教授治疗慢性淋巴细胞性甲状腺炎的临床经验。认为其与肝肾的关系密切,其病之标在气滞、痰凝和瘀血,治疗时要以补为主、标本兼顾;调补肝肾为本,配合理气化痰、祛瘀软坚之法;强调要结合局部与整体、疾病的不同阶段等因素综合辨证施治。"
理气滋肾法治疗慢性淋巴细胞性甲状腺炎133例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_a76ZzW3Io3K8VVZoQ-ofS-ArTlrgIC0JAYDiZtbF9dzyI3-hVKOVvazg8AXB9APHHX7LHkLBbRyelhZKVBMP8nSrGdd7XGINLKbLvc71QdaTxHMAsA0HX7Dez1it9AqJM=&uniplatform=NZKPT&language=CHS,王孜优;张海发,辽宁中医杂志,11/27/1989,期刊,12,,"<正> 近年来随着甲状腺微粒抗体(MCA)、甲状腺球蛋白抗体(TGA)、放射免疫测定技术的发展,慢性淋巴细胞性甲状腺炎(桥本甲状腺炎)诊断准确率逐渐提高。我们于1986年～1988年间运用中医理气滋肾法治疗本病133例,取得了较满意的疗效。现报道如下。"
